"net1","net2","mean_full","mean_pos","mean_neg","n_edges","subject","condition"
"SalVentAttn","Subcortex",0.175722407876567,0.243910599195891,-0.12253586407742,704,"sub-001","PLCB"
"Limbic","Vis",0.0369383464727177,0.154791817580198,-0.130020737596212,348,"sub-001","PLCB"
"Limbic","SomMot",0.0710026314017298,0.168263083105446,-0.125617418445351,420,"sub-001","PLCB"
"Limbic","DorsAttn",0.00411330288548324,0.121722067421643,-0.133096922406703,312,"sub-001","PLCB"
"Limbic","SalVentAttn",0.0655204224905287,0.174372954548198,-0.118862437933686,264,"sub-001","PLCB"
"Limbic","Limbic",0.193225173787569,0.30823770694826,-0.233964235094996,66,"sub-001","PLCB"
"Limbic","Cont",0.0429843578824977,0.158107733037219,-0.123827063260058,360,"sub-001","PLCB"
"Limbic","Default",0.0881790050700639,0.187545488441556,-0.120602257744195,552,"sub-001","PLCB"
"Limbic","Subcortex",0.106158851056594,0.200255504375113,-0.119506574158614,384,"sub-001","PLCB"
"Cont","Vis",-0.0795485998802484,0.111686881610523,-0.162406806852362,870,"sub-001","PLCB"
"Cont","SomMot",-0.105398039058999,0.110150191120414,-0.208169980030618,1050,"sub-001","PLCB"
"Cont","DorsAttn",0.0664436860979128,0.231546894156871,-0.158697052164303,780,"sub-001","PLCB"
"Cont","SalVentAttn",0.0190322092265625,0.211637769153393,-0.184373662471866,660,"sub-001","PLCB"
"Cont","Limbic",0.0429843578824977,0.158107733037219,-0.123827063260058,360,"sub-001","PLCB"
"Cont","Cont",0.191294744504086,0.299269949776561,-0.131640273099828,435,"sub-001","PLCB"
"Cont","Default",0.0349533728778813,0.220007785689817,-0.169283509554803,1380,"sub-001","PLCB"
"Cont","Subcortex",0.0339796459258863,0.148542446587375,-0.123013821647265,960,"sub-001","PLCB"
"Default","Vis",0.0544142346115013,0.191745024400719,-0.139537567966037,1334,"sub-001","PLCB"
"Default","SomMot",-0.0192089161878459,0.216513457993579,-0.2227377253769,1610,"sub-001","PLCB"
